DRAW,DATE,GAME,AB1,AB2,AB3,AB4,AB5,AB6,BB,WIN1,DIV1,WIN2,DIV2,WIN3,DIV3,WIN4,DIV4,WIN5,DIV5,WIN6,DIV6,WIN7,DIV7,WIN8,DIV8,WIN9,DIV9
1770,2017-12-13,LOTTO,47,25,12,8,32,35,52,0,0,1,88447.40,40,3845.50,72,2670.50,2248,143.70,2332,120.40,38689,50.00,24651,20.00
1769,2017-12-09,LOTTO,41,23,38,34,18,26,7,0,0,2,52474.50,67,2724.20,144,1584.40,2944,130.20,3798,87.70,48003,50.00,39486,20.00
1768,2017-12-06,LOTTO,5,49,24,18,17,7,39,0,0,1,75959.50,52,2540.50,80,2064.10,2510,110.50,2780,86.70,47893,50.00,29334,20.00
1767,2017-12-02,LOTTO,51,24,43,13,50,25,28,0,0,1,123418.10,35,6132.50,80,3353.80,1979,227.80,2752,142.30,42432,50.00,32944,20.00
1766,2017-11-29,LOTTO,32,41,20,39,26,34,10,0,0,0,0,37,6842.00,100,2009.10,1952,172.90,2783,105.40,38842,50.00,31063,20.00
1765,2017-11-25,LOTTO,44,35,7,2,25,51,29,0,0,2,52259.40,38,4783.50,86,2642.10,2294,166.40,2952,112.40,44456,50.00,32318,20.00
1764,2017-11-22,LOTTO,48,3,29,25,26,16,45,0,0,1,69940.90,26,4678.40,51,2981.20,1557,164.10,1661,133.70,30224,50.00,18876,20.00
1763,2017-11-18,LOTTO,3,52,39,36,43,38,47,0,0,0,0,29,9512.20,81,2702.90,1707,215.50,2336,136.80,36222,50.00,27388,20.00
1762,2017-11-15,LOTTO,22,37,2,49,42,36,16,0,0,0,0,29,7133.90,75,2189.30,1439,191.70,2400,99.90,30529,50.00,24334,20.00
1761,2017-11-11,LOTTO,28,3,30,21,46,51,42,1,6251034.20,0,0,31,9384.40,84,2748.60,1780,217.90,2510,134.30,38026,50.00,28700,20.00
1760,2017-11-08,LOTTO,24,47,39,51,1,38,31,0,0,1,90743.10,21,7515.00,45,4383.70,1362,243.20,1706,168.70,28314,50.00,22293,20.00
1759,2017-11-04,LOTTO,11,5,38,25,49,32,41,1,50795986.30,1,155689.80,90,3008.50,155,2183.60,4059,140.10,4780,103.40,73709,50.00,50276,20.00
