DRAW,DATE,GAME,AB1,AB2,AB3,AB4,AB5,AB6,BB,WIN1,DIV1,WIN2,DIV2,WIN3,DIV3,WIN4,DIV4,WIN5,DIV5,WIN6,DIV6,WIN7,DIV7,WIN8,DIV8,OB1,OB2,OB3,OB4,OB5,OB6
1591,2016-03-26,LOTTO,31,41,17,27,1,23,9,1,20000000.00,4,105869.00,127,7503.00,391,1354.00,6368,279.00,9469,123.00,108566,35.00,0,0.00,1,17,23,27,31,41
1592,2016-03-30,LOTTO,34,38,10,5,22,39,32,0,0.00,4,60776.00,80,6837.00,152,1999.00,3555,286.00,4446,150.00,62388,35.00,0,0.00,5,10,22,34,38,39
1593,2016-04-02,LOTTO,16,42,39,1,6,28,43,0,0.00,1,355137.00,61,13099.00,162,2740.00,4380,340.00,5560,176.00,86142,37.00,0,0.00,1,6,16,28,39,42
1594,2016-04-06,LOTTO,20,11,21,47,16,12,6,0,0.00,1,253652.00,51,11191.00,190,1669.00,3503,303.00,5628,124.00,66650,34.00,0,0.00,11,12,16,20,21,47
1595,2016-04-09,LOTTO,13,30,27,31,17,25,4,0,0.00,2,156953.00,94,7945.00,282,1471.00,4905,283.00,7086,129.00,89291,33.00,0,0.00,13,17,25,27,30,31
1596,2016-04-13,LOTTO,18,2,7,11,20,38,40,0,0.00,1,247328.00,108,5153.00,230,1344.00,5350,194.00,5508,124.00,85284,26.00,0,0.00,2,7,11,18,20,38
1597,2016-04-16,LOTTO,17,34,31,7,18,23,44,0,0.00,3,110194.00,95,7830.00,233,1774.00,5006,277.00,5888,154.00,95944,31.00,0,0.00,7,17,18,23,31,34
1598,2016-04-20,LOTTO,13,4,17,23,2,6,38,0,0.00,4,61248.00,123,4482.00,185,1655.00,4999,205.00,4848,139.00,82881,27.00,0,0.00,2,4,6,13,17,23
1599,2016-04-23,LOTTO,8,18,1,26,31,33,32,0,0.00,2,171574.00,83,9302.00,220,1950.00,5123,281.00,6622,143.00,92777,33.00,0,0.00,1,8,18,26,31,33
1600,2016-04-27,LOTTO,8,3,26,1,39,14,16,0,0.00,0,0.00,85,9909.00,206,1573.00,4042,269.00,6088,117.00,73563,32.00,0,0.00,1,3,8,14,26,39
1601,2016-04-30,LOTTO,41,40,45,19,28,12,14,1,20000000.00,2,242011.00,107,10178.00,283,2138.00,6390,317.00,8324,160.00,120480,36.00,0,0.00,12,19,28,40,41,45
1602,2016-05-04,LOTTO,32,35,24,21,18,23,41,0,0.00,1,269136.00,102,5937.00,183,1838.00,4387,257.00,5120,145.00,73986,33.00,0,0.00,18,21,23,24,32,35
1603,2016-05-07,LOTTO,3,30,45,36,2,19,12,0,0.00,3,115326.00,74,10520.00,246,1758.00,4450,326.00,6577,145.00,85664,36.00,0,0.00,2,3,19,30,36,45
1604,2016-05-11,LOTTO,40,8,41,44,10,14,47,1,3981221.00,2,128742.00,66,8778.00,150,2146.00,3631,297.00,4609,154.00,65105,36.00,0,0.00,8,10,14,40,41,44
1605,2016-05-14,LOTTO,34,6,48,38,44,13,31,0,0.00,4,79882.00,84,8559.00,187,2136.00,4415,303.00,5464,161.00,75096,38.00,0,0.00,6,13,34,38,44,48
1606,2016-05-18,LOTTO,13,38,4,49,33,32,43,0,0.00,1,237050.00,46,11595.00,138,2147.00,2875,345.00,4532,144.00,56615,38.00,0,0.00,4,13,32,33,38,49
1607,2016-05-21,LOTTO,44,41,1,30,14,10,46,0,0.00,1,309610.00,85,8196.00,161,2404.00,4980,260.00,4839,176.00,76320,37.00,0,0.00,1,10,14,30,41,44
1608,2016-05-25,LOTTO,4,48,12,44,13,20,43,0,0.00,0,0.00,44,13818.00,92,5475.00,2907,158.00,3296,142.00,54154,50.00,0,0.00,4,12,13,20,44,48
1609,2016-05-28,LOTTO,20,1,5,49,23,47,41,1,30000000.00,2,334571.00,147,3762.00,281,3603.00,7510,123.00,8523,111.00,130533,50.00,0,0.00,1,5,20,23,47,49
1610,2016-06-01,LOTTO,31,24,14,47,40,42,15,0,0.00,1,383394.00,47,6742.00,103,5632.00,2710,195.00,3425,158.00,51866,50.00,0,0.00,14,24,31,40,42,47
1611,2016-06-04,LOTTO,1,17,27,42,26,11,16,0,0.00,2,212475.00,100,3512.00,214,3005.00,4359,134.00,5878,102.00,79831,50.00,0,0.00,1,11,17,26,27,42
1612,2016-06-08,LOTTO,48,45,4,1,25,27,19,0,0.00,0,0.00,44,14387.00,124,4229.00,2347,203.00,4052,120.00,47500,50.00,0,0.00,1,4,25,27,45,48
1613,2016-06-11,LOTTO,30,27,12,8,6,7,39,2,6968067.00,2,176806.00,99,2952.00,184,2908.00,4805,101.00,4689,106.00,83793,50.00,0,0.00,6,7,8,12,27,30
